time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050410:2310,0.0,0.0,0.0,0.0,0.0,9.04,2.28,0.0
20050411:0010,0.0,0.0,0.0,0.0,0.0,8.55,2.34,0.0
20050411:0110,0.0,0.0,0.0,0.0,0.0,7.84,2.41,0.0
20050411:0210,0.0,0.0,0.0,0.0,0.0,7.51,2.28,0.0
20050411:0310,0.0,0.0,0.0,0.0,0.0,7.3,2.41,0.0
20050411:0410,0.0,0.0,0.0,0.0,0.0,7.21,2.48,0.0
20050411:0510,1.38,0.0,8.53,0.29,12.56,7.13,2.55,0.0
20050411:0610,9.31,0.0,21.32,0.73,22.73,7.75,2.34,0.0
20050411:0710,18.87,0.0,34.11,1.17,32.42,7.9,2.48,0.0
20050411:0810,36.89,0.0,56.28,1.93,41.04,8.86,2.55,0.0
20050411:0910,55.83,0.0,78.45,2.69,47.69,9.56,2.62,0.0
20050411:1010,116.9,0.0,147.52,5.07,51.19,11.05,2.97,0.0
20050411:1110,76.82,0.0,103.18,3.54,50.63,12.03,3.03,0.0
20050411:1210,109.91,0.0,140.7,4.83,46.17,12.77,3.31,0.0
20050411:1310,76.75,0.0,103.18,3.9,38.89,13.05,3.38,0.0
20050411:1410,33.96,0.0,53.53,2.02,29.91,13.28,3.45,0.0
20050411:1510,13.77,0.0,27.93,1.05,20.04,13.35,3.24,0.0
20050411:1610,14.36,0.0,28.7,1.08,9.82,13.17,2.97,0.0
20050411:1710,0.0,0.0,0.0,0.0,-0.35,12.09,2.69,0.0
20050411:1810,0.0,0.0,0.0,0.0,0.0,10.72,2.62,0.0
20050411:1910,0.0,0.0,0.0,0.0,0.0,10.12,2.48,0.0
20050411:2010,0.0,0.0,0.0,0.0,0.0,9.6,2.41,0.0
20050411:2110,0.0,0.0,0.0,0.0,0.0,9.05,2.28,0.0
20050411:2210,0.0,0.0,0.0,0.0,0.0,8.73,2.14,0.0
20050411:2310,0.0,0.0,0.0,0.0,0.0,8.42,1.93,0.0
20050412:0010,0.0,0.0,0.0,0.0,0.0,8.14,1.79,0.0
20050412:0110,0.0,0.0,0.0,0.0,0.0,7.94,1.72,0.0
20050412:0210,0.0,0.0,0.0,0.0,0.0,7.79,1.72,0.0
20050412:0310,0.0,0.0,0.0,0.0,0.0,7.64,1.72,0.0
20050412:0410,0.0,0.0,0.0,0.0,0.0,7.86,1.72,0.0
20050412:0510,1.36,0.0,8.53,0.29,12.87,8.33,1.72,0.0
